label,z,x,y,area,vec_0,vec_1,vec_2,theta,psi,eccentricity,percentile_intensity,area_volume,mean_intensity_0,percentile_intensity_0,area_volume_0,mean_intensity_1,percentile_intensity_1,area_volume_1,mean_intensity_2,percentile_intensity_2,area_volume_2
5,5,316,213,4181,0.009958342719959724,0.8076761172363128,0.5895422979365823,0.940268057114421,0.009958507319772499,7.313374945629846,0.0,60487.0,0.0,0.0,60487.0,0.0,0.0,60487.0,0.0,0.0,60487.0
8,6,270,177,4043,-0.010068615620972582,-0.9567038954372812,-0.2908887750233903,-1.8659673914143364,-0.01006878574977599,4.084680402246001,0.0,58969.0,0.0,0.0,58969.0,0.0,0.0,58969.0,0.0,0.0,58969.0
9,7,271,222,6682,-0.09717118744695707,-0.3525571296548143,-0.9307315567120884,-2.7794983890587193,-0.09732475981637549,8.528225111937074,0.0,29359.0,0.0,0.0,29359.0,0.0,0.0,29359.0,0.0,0.0,29359.0
10,7,292,245,4993,-0.03399063823147999,0.7631813705980197,-0.6452897272425347,2.272687289518369,-0.03399718689384432,5.662659581316984,0.0,25759.0,0.0,0.0,25759.0,0.0,0.0,25759.0,0.0,0.0,25759.0
11,10,249,246,5971,0.029172982546750967,0.25992641073160816,0.9651876491612964,0.26306061229791733,0.029177122139561154,2.0985335531690748,0.0,47917.0,0.0,0.0,47917.0,0.0,0.0,47917.0,0.0,0.0,47917.0
12,10,230,316,9033,-0.26326293638291637,0.7645535712983746,-0.5883455302302776,2.2266787851822745,-0.26640289807563255,3.2319166111551167,0.0,51824.0,0.0,0.0,51824.0,0.0,0.0,51824.0,0.0,0.0,51824.0
13,12,301,278,10717,0.014233203418610833,-0.24312796282197788,-0.9698897925096849,-2.8959779833296735,0.014233684032495194,1.5707063197847506,0.0,50026.0,0.0,0.0,50026.0,0.0,0.0,50026.0,0.0,0.0,50026.0
14,11,304,321,11501,-0.1728256297971446,-0.8202375690724155,0.5452904106688422,-0.9840901251138852,-0.17369774960145343,2.891638791746328,0.0,59535.0,0.0,0.0,59535.0,0.0,0.0,59535.0,0.0,0.0,59535.0
15,13,322,246,8866,0.4876469733463075,0.0160062226083341,-0.8728941689712436,3.1232577516733726,0.5093925100815576,2.319364711495488,0.0,42290.0,0.0,0.0,42290.0,0.0,0.0,42290.0,0.0,0.0,42290.0
16,13,242,328,8129,-0.5450464709619792,0.5565246111437593,-0.6270603652625316,2.4157190946062546,-0.5764445415030759,2.3923917478512777,0.0,40791.0,0.0,0.0,40791.0,0.0,0.0,40791.0,0.0,0.0,40791.0
18,17,200,271,9032,0.00949146995775,0.9394425940915376,0.34257484496764135,1.2211236858203618,0.009491612474788351,3.1904979558038793,0.0,85203.0,0.0,0.0,85203.0,0.0,0.0,85203.0,0.0,0.0,85203.0
19,16,239,367,9385,0.6086827475451816,-0.5453144435653724,0.5763136910397298,-0.7577674743362695,0.6543992974567925,2.2720029689247596,0.0,62830.0,0.0,0.0,62830.0,0.0,0.0,62830.0,0.0,0.0,62830.0
23,20,181,184,8877,0.15710670067369908,0.0296295494336744,-0.9871370595838161,3.1115860239953057,0.15776028455596725,2.7554498880444984,0.0,85777.0,0.0,0.0,85777.0,0.0,0.0,85777.0,0.0,0.0,85777.0
24,18,222,191,7984,-0.3360902644394404,0.6466341404375796,0.6847682984554557,0.7567638947512453,-0.3427625937903232,3.1670169155430856,0.0,72459.0,0.0,0.0,72459.0,0.0,0.0,72459.0,0.0,0.0,72459.0
26,25,288,315,11149,0.37424752386465343,0.7326336796314534,-0.5684951031898621,2.230706455611197,0.3835851967356408,1.8966470497496242,0.0,47483.0,0.0,0.0,47483.0,0.0,0.0,47483.0,0.0,0.0,47483.0
28,25,275,290,9553,-0.6649239790604342,0.6787821643005929,-0.3116582671739064,2.001227736896107,-0.7273920329427256,2.1010661998416764,0.0,69255.0,0.0,0.0,69255.0,0.0,0.0,69255.0,0.0,0.0,69255.0
29,29,275,220,10798,0.45028993972447007,0.6451631965876768,0.6172547447786076,0.8075017043101809,0.46709003577646807,2.783552663843327,384.0,56479.0,0.0,0.0,56479.0,81.5970065570094,114.0,56479.0,293.2787584766019,384.0,56479.0
30,28,219,244,12684,0.2563032386019892,-0.9588236623104053,0.1223349274565306,-1.4438934164980115,0.25919573852481775,2.124175123568019,0.0,64894.0,0.0,0.0,64894.0,0.0,0.0,64894.0,0.0,0.0,64894.0
31,30,300,236,13825,-0.25524646165666054,-0.14775758863820632,-0.9555191985572961,-2.9881719129905346,-0.25810259976206945,3.6805795016341123,331.0,46152.0,0.0,0.0,46152.0,76.40932137285492,105.0,46152.0,195.59966343098168,331.0,46152.0
32,30,260,370,10349,-0.4700569029839694,0.6923183872200104,-0.5474867657525638,2.2399035145197397,-0.4893552462659315,2.5232723960177212,0.0,72486.0,0.0,0.0,72486.0,0.0,0.0,72486.0,0.0,0.0,72486.0
33,30,365,256,12604,-0.5753653925931352,-0.21908407787745465,0.7880081419799754,-0.27117412718775846,-0.6130508246296121,3.1804854370021625,0.0,113739.0,0.0,0.0,113739.0,0.0,0.0,113739.0,0.0,0.0,113739.0
34,32,185,213,11320,0.7604280221592906,-0.6021263504222965,-0.24329628283645385,-1.9547993808108024,0.8639719424196137,4.503956285288035,0.0,74497.0,0.0,0.0,74497.0,0.0,0.0,74497.0,0.0,0.0,74497.0
35,29,208,130,10852,-0.66634491976823,0.6724697288772946,0.32213182339341917,1.124066645266564,-0.7292960707523917,4.105410825209927,0.0,115882.0,0.0,0.0,115882.0,0.0,0.0,115882.0,0.0,0.0,115882.0
36,31,164,294,8012,-0.2905593346347647,0.5527619453156466,-0.7810438559181329,2.5257028962134154,-0.2948113399752464,1.6344566264767049,0.0,77312.0,0.0,0.0,77312.0,0.0,0.0,77312.0,0.0,0.0,77312.0
37,32,266,179,11638,0.08171599600927523,0.6929607425461208,0.7163294669955584,0.7688177722013252,0.08180721352179288,3.1995942139388687,128.0,50997.0,0.0,0.0,50997.0,44.30984175539738,50.0,50997.0,111.42853501186345,128.0,50997.0
38,34,355,326,9609,0.7706591549950738,0.5200001476658762,0.3683535166789453,0.9544736776481044,0.8798748838917726,3.0253690025114843,0.0,90877.0,0.0,0.0,90877.0,0.0,0.0,90877.0,0.0,0.0,90877.0
39,35,209,191,7653,-0.8428750393815988,-0.34930653173606974,0.409324583764506,-0.7064489850717989,-1.0026039291735167,2.3898109095902464,133.0,39509.0,0.0,0.0,39509.0,42.20166713069596,49.0,39509.0,117.10492967846989,133.0,39509.0
40,37,167,264,7098,0.7945772053700829,-0.45349149365280744,0.40372333334947963,-0.843391041298717,0.9183109174953874,2.1118104906223913,81.0,66734.0,0.0,0.0,66734.0,29.02923047721801,32.0,66734.0,71.57312614259598,81.0,66734.0
41,37,250,341,8404,0.17524571255031557,0.07908691922788912,0.981343058996075,0.08041669426302744,0.1761553374109697,1.6616448027279225,120.0,52757.0,0.0,0.0,52757.0,42.756525200447335,48.0,52757.0,100.51110437161577,120.0,52757.0
42,37,343,298,8548,0.0785375999584939,0.010718056896291434,-0.9968535342010518,3.130841180536073,0.07861856356515766,3.5490998262750355,91.0,55959.0,0.0,0.0,55959.0,28.689022319912795,33.0,55959.0,73.5429034352532,91.0,55959.0
43,38,256,263,13366,0.5415681772707517,0.6163906692848529,-0.5716348941292928,2.3185398959372354,0.5723014100007273,1.817562994620493,333.0,69836.0,0.0,0.0,69836.0,53.89514958855987,65.0,69836.0,220.4647889340741,333.0,69836.0
44,39,279,346,9874,-0.6456665163482158,-0.6391230583287949,-0.41789528111622304,-2.149878408403117,-0.701895799787631,2.9749433101726965,373.0,68044.0,0.0,0.0,68044.0,56.76027276468167,85.0,68044.0,255.3013638234084,373.0,68044.0
45,36,186,340,20011,0.6614802893036511,-0.7034538751894486,-0.2599932159570819,-1.9248201934392029,0.7227908646102594,6.578907433055814,105.0,111770.0,0.0,0.0,111770.0,10.588840177745967,33.0,111770.0,27.236977722107902,105.0,111770.0
46,46,225,371,9813,0.9148493214635272,-0.33697972542917315,0.22247557993497388,-0.9872807831917231,1.1551346071482451,3.732613697780207,191.0,63378.0,0.0,0.0,63378.0,30.300288217783248,38.0,63378.0,89.00013148621498,191.0,63378.0
48,46,199,141,13626,0.7660111760715949,-0.48216737481911387,-0.42513703766368816,-2.293420182940835,0.8726128732548428,2.8364938804137227,494.0,65633.0,0.0,0.0,65633.0,73.52132819364243,134.0,65633.0,226.22516112321546,494.0,65633.0
49,47,270,155,9938,-0.6476477800934183,0.11460384014553718,0.7532717389919549,0.15098359568079944,-0.7044932242778283,2.2802850624058997,717.0,55779.0,0.0,0.0,55779.0,118.93044574720474,163.0,55779.0,509.4811667473422,717.0,55779.0
50,49,181,312,10496,0.865545454672369,-0.4964838342494225,-0.06583971616732885,-1.7026390624453487,1.0462384494614587,3.6009097447360316,136.0,36038.0,0.0,0.0,36038.0,55.99346060639695,66.0,36038.0,119.51568714505059,136.0,36038.0
51,42,205,320,22584,-0.3427571160276687,0.2158359254103453,0.9142933953139193,0.23182435641932714,-0.34985023241496266,3.7026729936171785,316.0,55346.0,0.0,0.0,55346.0,89.30399667545983,111.0,55346.0,249.35405750490852,316.0,55346.0
52,48,297,139,12348,0.3646621653457875,0.930226087842079,0.04124234066273787,1.5264895177861977,0.373269958922449,2.694152421497931,97.0,62409.0,0.0,0.0,62409.0,30.77946022742446,41.0,62409.0,79.63937359462044,97.0,62409.0
53,48,302,174,14388,-0.09058943941791174,0.43408192166194043,0.8963071118496302,0.45100925681868975,-0.09071380212521296,2.122659495323433,368.0,61852.0,0.0,0.0,61852.0,56.149685270214924,70.0,61852.0,239.8080902800233,368.0,61852.0
54,53,150,228,13676,0.8402032228459946,0.1550494597570817,-0.5196327639287585,2.851620222556346,0.9976578757073913,4.737248775306718,470.0,77402.0,0.0,0.0,77402.0,56.92504500314376,97.0,77402.0,290.56305177299464,470.0,77402.0
55,51,212,229,8896,0.241079189075948,0.9042253699923394,-0.352501496247463,1.942511863142682,0.24347768435496495,4.871431736013637,184.0,56231.0,0.0,0.0,56231.0,51.753451536222606,70.0,56231.0,125.76125268979744,184.0,56231.0
56,50,209,164,13329,-0.7059255257851376,0.5914379182770486,0.3897054539894055,0.9881816734990205,-0.7837290082522075,2.293923769612531,87.0,59820.0,0.0,0.0,59820.0,30.51950852557673,32.0,59820.0,78.89514097849103,87.0,59820.0
57,50,231,393,22807,-0.19830747756415665,-0.942754179503225,-0.2681206843407322,-1.8478818397244452,-0.1996308008994503,1.7954122552333016,39.0,70895.0,0.0,0.0,70895.0,20.472478077908644,22.0,70895.0,33.458687730681525,39.0,70895.0
58,50,330,267,9759,0.80424811010428,0.5817054217938986,0.12167078387713498,1.364606684324409,0.9344092005362623,4.324762107481199,136.0,40254.0,0.0,0.0,40254.0,45.53925075768868,65.0,40254.0,93.94015501565062,136.0,40254.0
60,52,154,307,10683,0.8477179526534242,-0.5303264695882594,0.011318498272275294,-1.5494570558834027,1.0116682692089911,6.68926519173364,63.0,69911.0,0.0,0.0,69911.0,28.52413306442,34.0,69911.0,53.637739411537524,63.0,69911.0
61,51,330,315,12088,0.8151534259183529,0.1581939787086708,-0.557224871406413,2.8649747467725963,0.9529940177838934,4.42986604368333,895.0,67980.0,0.0,0.0,67980.0,145.76679905854664,213.0,67980.0,630.5958468176915,895.0,67980.0
62,52,363,284,8885,-0.7472404031814243,-0.5986671383818564,0.28849512521867915,-1.1217367655197423,-0.8438997709626892,2.9592810124789874,179.0,54403.0,0.0,0.0,54403.0,31.326428076883015,45.0,54403.0,93.15808564478675,179.0,54403.0
64,53,321,163,12050,-0.6299177948302873,-0.026834799157421634,0.7761980838100084,-0.03455833777894059,-0.6814473627917741,1.9582305411654464,126.0,88510.0,0.0,0.0,88510.0,30.385903664369373,36.0,88510.0,78.50416148834407,126.0,88510.0
65,53,323,225,8708,0.30304300977877574,0.46420594078074706,0.8322726589093761,0.5087792040263526,0.3078842021124362,2.538174769725207,159.0,57477.0,0.0,0.0,57477.0,79.65483584738243,178.0,57477.0,124.6781727183627,159.0,57477.0
68,55,243,139,9166,-0.8252683932232769,-0.3190017015445249,0.46601501430572834,-0.6002684332500313,-0.9706772853804264,3.1940184916848984,190.0,68018.0,0.0,0.0,68018.0,43.03908279181001,57.0,68018.0,138.05607829300087,190.0,68018.0
