
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
164.301,555.397,30.5042,µm,Spot,Position Reference Frame,Reference Frame 1,1,72,
208.201,570.909,25.0526,µm,Spot,Position Reference Frame,Reference Frame 1,1,73,
228.551,565.498,25.6307,µm,Spot,Position Reference Frame,Reference Frame 1,1,74,
187.132,565.329,26.2996,µm,Spot,Position Reference Frame,Reference Frame 1,1,75,
181.602,562.688,28.6629,µm,Spot,Position Reference Frame,Reference Frame 1,1,76,
215.246,561.372,30.2053,µm,Spot,Position Reference Frame,Reference Frame 1,1,77,
242.022,560.55,24.6888,µm,Spot,Position Reference Frame,Reference Frame 1,1,78,
270.257,542.872,28.4785,µm,Spot,Position Reference Frame,Reference Frame 1,1,79,
255.597,547.278,29.7352,µm,Spot,Position Reference Frame,Reference Frame 1,1,80,
504.463,148.184,32.4432,µm,Spot,Position Reference Frame,Reference Frame 1,1,81,
483.416,147.248,32.7532,µm,Spot,Position Reference Frame,Reference Frame 1,1,82,
473.917,150.208,34.3965,µm,Spot,Position Reference Frame,Reference Frame 1,1,83,
516.65,156.01,35.8674,µm,Spot,Position Reference Frame,Reference Frame 1,1,84,
492.006,153.842,36.1043,µm,Spot,Position Reference Frame,Reference Frame 1,1,85,
482.92,161.658,38.779,µm,Spot,Position Reference Frame,Reference Frame 1,1,86,
475.71,156.682,39.2328,µm,Spot,Position Reference Frame,Reference Frame 1,1,87,
486.197,157.088,39.4633,µm,Spot,Position Reference Frame,Reference Frame 1,1,88,
535.964,157.368,33.8259,µm,Spot,Position Reference Frame,Reference Frame 1,1,89,
546.042,159.34,33.7719,µm,Spot,Position Reference Frame,Reference Frame 1,1,90,
538.74,162.746,37.2393,µm,Spot,Position Reference Frame,Reference Frame 1,1,91,
551.514,170.188,38.7551,µm,Spot,Position Reference Frame,Reference Frame 1,1,92,
605.614,255.905,39.9195,µm,Spot,Position Reference Frame,Reference Frame 1,1,93,
618.484,346.586,33.7751,µm,Spot,Position Reference Frame,Reference Frame 1,1,94,
628.72,333.24,34.9198,µm,Spot,Position Reference Frame,Reference Frame 1,1,95,
510.417,411.465,34.7984,µm,Spot,Position Reference Frame,Reference Frame 1,1,96,
528.047,401.701,36.9055,µm,Spot,Position Reference Frame,Reference Frame 1,1,97,
549.511,389.21,33.1799,µm,Spot,Position Reference Frame,Reference Frame 1,1,98,
580.837,372.576,34.5193,µm,Spot,Position Reference Frame,Reference Frame 1,1,99,
569.443,377.142,37.9711,µm,Spot,Position Reference Frame,Reference Frame 1,1,100,
543.377,390.178,37.6752,µm,Spot,Position Reference Frame,Reference Frame 1,1,101,
589.633,363.503,37.4201,µm,Spot,Position Reference Frame,Reference Frame 1,1,102,
