
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
543.328,274.156,46.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,73,
546.29,272.811,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,74,
517.878,279.581,47.8718,µm,Spot,Position Reference Frame,Reference Frame 1,1,75,
449.562,203.54,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,76,
454.917,197.077,47.304,µm,Spot,Position Reference Frame,Reference Frame 1,1,77,
155.34,564.005,20.7697,µm,Spot,Position Reference Frame,Reference Frame 1,1,78,
166.177,565.85,22.1671,µm,Spot,Position Reference Frame,Reference Frame 1,1,79,
304.546,452.989,45.7507,µm,Spot,Position Reference Frame,Reference Frame 1,1,80,
303.742,509.115,37.0978,µm,Spot,Position Reference Frame,Reference Frame 1,1,81,
303.815,322.323,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,82,
348.255,309.416,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,83,
345.298,309.692,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,84,
382.374,292.24,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,85,
441.664,299.228,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,86,
413.888,226.414,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,87,
433.068,216.696,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,88,
506.501,185.718,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,89,
487.123,174.348,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,90,
287.262,335.832,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,91,
526.658,181.001,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,92,
528.266,141.865,21.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,93,
352.177,442.166,44.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,94,
448.104,199.974,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,95,
428.334,281.803,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,96,
430.906,284.533,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,97,
481.845,171.482,42.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,98,
164.063,548.634,32.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,99,
557.859,204.391,43.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,100,
555.129,204.684,47.6538,µm,Spot,Position Reference Frame,Reference Frame 1,1,101,
548.556,173.344,41.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,102,
549.885,176.716,39.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,103,
524.918,141.347,22.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,104,
372.625,358.747,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,105,
370.794,356.588,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,106,
195.416,564.466,25.9547,µm,Spot,Position Reference Frame,Reference Frame 1,1,107,
215.984,544.001,35.4133,µm,Spot,Position Reference Frame,Reference Frame 1,1,108,
212.756,544.945,36.4594,µm,Spot,Position Reference Frame,Reference Frame 1,1,109,
140.054,575.799,10.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,110,
243.478,505.394,44.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,111,
239.807,507.31,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,112,
279.665,531.947,23.7494,µm,Spot,Position Reference Frame,Reference Frame 1,1,113,
281.322,533.1,20.1646,µm,Spot,Position Reference Frame,Reference Frame 1,1,114,
222.408,502.548,45.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,115,
218.291,501.487,44.7028,µm,Spot,Position Reference Frame,Reference Frame 1,1,116,
290.761,487.436,44.8804,µm,Spot,Position Reference Frame,Reference Frame 1,1,117,
286.326,484.739,44.2127,µm,Spot,Position Reference Frame,Reference Frame 1,1,118,
253.515,454.649,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,119,
255.484,457.239,46.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,120,
267.203,429.66,46.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,121,
299.472,446.939,45.0009,µm,Spot,Position Reference Frame,Reference Frame 1,1,122,
361.131,397.29,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,123,
407.704,377.194,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,124,
448.963,370.002,46.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,125,
539.249,294.629,46.4734,µm,Spot,Position Reference Frame,Reference Frame 1,1,126,
353.026,282.911,49.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,127,
542.249,246.847,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,128,
542.003,214.073,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,129,
540.282,155.85,30.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,130,
269.44,473.305,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,131,
317.907,507.859,36.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,132,
283.186,335.601,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,133,
445.661,249.879,45.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,134,
449.66,248.969,45.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,135,
492.522,256.384,49.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,136,
591.539,284.914,48.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,137,
489.288,349.427,45.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,138,
537.334,331.228,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,139,
